Task Name,Category,Status,Date,Notes
"Backup laptop & cloud","Backups","Not Started",,
"Clear Desktop surface","Surface Cleanup","Not Started",,
"Empty Downloads folder","Surface Cleanup","Not Started",,
"Identify primary cloud storage","Cloud Setup","Not Started",,
"Create folder hierarchy","System Setup","Not Started",,
"Move files into folders","Migration","Not Started",,
"Delete duplicates","Migration","Not Started",,
"Rename files to standard format","Migration","Not Started",,
"Apply tags to files","File Naming","Not Started",,
"Weekly sort new files","Maintenance","Recurring",,
"Monthly backup check","Maintenance","Recurring",,
"Unsubscribe from unused emails","Optional Cleanup","Not Started",,
"Remove unused apps","Optional Cleanup","Not Started",,
